Date,County,Total,Serious(Hospitalized),Dead
16.04.2020,Plymouth,2466,,92
16.04.2020,Suffolk,6820,,166
16.04.2020,Unknown,638,,9
16.04.2020,Worcester,2503,,84
17.04.2020,Barnstable,573,,20
17.04.2020,Berkshire,383,,26
17.04.2020,Bristol,1659,,75
17.04.2020,Dukes,12,,0
17.04.2020,Essex,4584,,179
17.04.2020,Franklin,173,,25
17.04.2020,Hampden,2134,,183
17.04.2020,Hampshire,258,,7
17.04.2020,Middlesex,7744,,294
17.04.2020,Nantucket,9,,0
17.04.2020,Norfolk,3499,,197
17.04.2020,Plymouth,2577,,104
17.04.2020,Suffolk,7272,,190
17.04.2020,Unknown,760,,12
17.04.2020,Worcester,2765,,92
18.04.2020,Barnstable,590,,20
18.04.2020,Berkshire,385,,27
18.04.2020,Bristol,1698,,83
18.04.2020,Dukes,14,,0
18.04.2020,Essex,4914,,194
18.04.2020,Franklin,177,,25
18.04.2020,Hampden,2254,,202
18.04.2020,Hampshire,306,,7
18.04.2020,Middlesex,8297,,334
18.04.2020,Nantucket,9,,0
18.04.2020,Norfolk,3659,,217
18.04.2020,Plymouth,2688,,121
18.04.2020,Suffolk,7696,,214
18.04.2020,Unknown,733,,13
18.04.2020,Worcester,2952,,103
19.04.2020,Barnstable,632,,21
19.04.2020,Berkshire,387,,29
19.04.2020,Bristol,1731,,87
19.04.2020,Dukes,14,,0
19.04.2020,Essex,5153,,210
19.04.2020,Franklin,181,,26
19.04.2020,Hampden,2337,,213
19.04.2020,Hampshire,317,,7
19.04.2020,Middlesex,8737,,372
19.04.2020,Nantucket,9,,0
19.04.2020,Norfolk,3789,,246
19.04.2020,Plymouth,2832,,130
19.04.2020,Suffolk,8074,,238
19.04.2020,Unknown,815,,13
19.04.2020,Worcester,3069,,114
20.04.2020,Barnstable,664,41,21
20.04.2020,Berkshire,387,25,28
20.04.2020,Bristol,1779,199,88
20.04.2020,Dukes,14,0,0
20.04.2020,Essex,5296,315,225
20.04.2020,Franklin,187,5,26
20.04.2020,Hampden,2438,217,224
20.04.2020,Hampshire,332,12,9
20.04.2020,Middlesex,9253,708,402
20.04.2020,Nantucket,9,0,0
20.04.2020,Norfolk,3960,275,263
20.04.2020,Plymouth,2976,257,134
20.04.2020,Suffolk,8314,1407,263
20.04.2020,Unknown,855,,9
20.04.2020,Worcester,3179,283,117
21.04.2020,Barnstable,672,46,22
21.04.2020,Berkshire,404,24,29
21.04.2020,Bristol,1852,225,96
21.04.2020,Dukes,14,1,1
21.04.2020,Essex,5521,324,245
21.04.2020,Franklin,192,3,29
21.04.2020,Hampden,2533,213,244
21.04.2020,Hampshire,337,17,10
21.04.2020,Middlesex,9621,730,428
21.04.2020,Nantucket,9,0,0
21.04.2020,Norfolk,4062,303,290
21.04.2020,Plymouth,3043,242,141
21.04.2020,Suffolk,8669,1403,285
21.04.2020,Unknown,929,,8
21.04.2020,Worcester,3341,280,133
22.04.2020,Barnstable,678,35,27
22.04.2020,Berkshire,404,22,31
22.04.2020,Bristol,1908,214,104
22.04.2020,Dukes,14,0,1
22.04.2020,Essex,5783,373,271
22.04.2020,Franklin,196,11,30
22.04.2020,Hampden,2678,230,271
22.04.2020,Hampshire,345,14,14
22.04.2020,Middlesex,10094,757,494
22.04.2020,Nantucket,9,1,0
22.04.2020,Norfolk,4212,290,312
22.04.2020,Plymouth,3253,248,157
22.04.2020,Suffolk,9060,1465,318
22.04.2020,Unknown,854,,9
22.04.2020,Worcester,3456,316,143
23.04.2020,Barnstable,708,26,28
23.04.2020,Berkshire,418,21,31
23.04.2020,Bristol,2181,195,109
23.04.2020,Dukes,14,0,1
23.04.2020,Essex,6219,347,292
23.04.2020,Franklin,203,11,30
23.04.2020,Hampden,2836,222,287
23.04.2020,Hampshire,367,22,15
23.04.2020,Middlesex,10724,763,545
23.04.2020,Nantucket,9,0,0
23.04.2020,Norfolk,4541,269,335
23.04.2020,Plymouth,3529,225,176
23.04.2020,Suffolk,9739,1453,346
23.04.2020,Unknown,737,,10
23.04.2020,Worcester,3798,330,155
24.04.2020,Barnstable,747,21,32
24.04.2020,Berkshire,425,17,31
24.04.2020,Bristol,2697,193,126
24.04.2020,Dukes,15,0,1
24.04.2020,Essex,6841,351,319
24.04.2020,Franklin,217,8,31
24.04.2020,Hampden,3060,212,299
24.04.2020,Hampshire,396,22,17
24.04.2020,Middlesex,11681,725,585
24.04.2020,Nantucket,9,1,0
24.04.2020,Norfolk,4979,250,368
24.04.2020,Plymouth,4160,239,197
24.04.2020,Suffolk,10724,1507,372
24.04.2020,Unknown,791,,12
24.04.2020,Worcester,4227,299,166
25.04.2020,Barnstable,756,23,37
25.04.2020,Berkshire,425,15,31
25.04.2020,Bristol,2829,186,130
25.04.2020,Dukes,15,0,1
25.04.2020,Essex,7212,331,336
25.04.2020,Franklin,225,11,32
25.04.2020,Hampden,3229,217,315
25.04.2020,Hampshire,412,9,20
25.04.2020,Middlesex,12253,725,629
25.04.2020,Nantucket,9,0,0
25.04.2020,Norfolk,5172,282,400
25.04.2020,Plymouth,4380,246,212
25.04.2020,Suffolk,11218,1489,391
25.04.2020,Unknown,753,,13
25.04.2020,Worcester,4460,308,183
26.04.2020,Barnstable,772,25,37
26.04.2020,Berkshire,428,11,31
26.04.2020,Bristol,2923,209,134
26.04.2020,Dukes,15,0,1
26.04.2020,Essex,7489,356,350
26.04.2020,Franklin,226,4,33
26.04.2020,Hampden,3295,227,327
26.04.2020,Hampshire,427,10,24
26.04.2020,Middlesex,12648,704,670
26.04.2020,Nantucket,10,0,0
26.04.2020,Norfolk,5288,267,418
26.04.2020,Plymouth,4495,240,230
26.04.2020,Suffolk,11543,1505,424
26.04.2020,Unknown,807,,14
26.04.2020,Worcester,4572,313,206
27.04.2020,Barnstable,798,29,39
27.04.2020,Berkshire,428,11,31
27.04.2020,Bristol,3068,199,137
27.04.2020,Dukes,15,0,1
27.04.2020,Essex,7708,396,359
27.04.2020,Franklin,231,5,33
27.04.2020,Hampden,3381,211,337
27.04.2020,Hampshire,443,11,26
27.04.2020,Middlesex,12953,726,700
27.04.2020,Nantucket,10,0,0
27.04.2020,Norfolk,5398,256,429
27.04.2020,Plymouth,4607,225,240
27.04.2020,Suffolk,11883,1482,448
27.04.2020,Unknown,795,,8
27.04.2020,Worcester,4744,333,215
28.04.2020,Barnstable,820,29,39
28.04.2020,Berkshire,430,11,31
28.04.2020,Bristol,3270,207,155
28.04.2020,Dukes,15,0,1
28.04.2020,Essex,7972,394,383
28.04.2020,Franklin,237,5,33
28.04.2020,Hampden,3546,205,346
28.04.2020,Hampshire,509,15,27
28.04.2020,Middlesex,13417,725,731
28.04.2020,Nantucket,11,0,0
28.04.2020,Norfolk,5567,254,448
28.04.2020,Plymouth,4744,234,256
28.04.2020,Suffolk,12140,1469,469
28.04.2020,Unknown,625,,5
28.04.2020,Worcester,4999,327,229
29.04.2020,Barnstable,842,24,40
29.04.2020,Berkshire,440,12,34
29.04.2020,Bristol,3429,209,165
29.04.2020,Dukes,16,0,1
